president,startdate,enddate,,approve,disapprove,unsure
Barack Obama,11/13/12,11/15/12,,52,42,6
Barack Obama,11/12/12,11/14/12,,52,41,7
Barack Obama,11/11/12,11/13/12,,53,40,7
Barack Obama,11/10/12,11/12/12,,52,41,7
Barack Obama,11/9/12,11/11/12,,52,42,6
Barack Obama,11/8/12,11/10/12,,51,43,6
Barack Obama,11/7/12,11/9/12,,52,42,6
Barack Obama,11/6/12,11/8/12,,49,45,6
Barack Obama,11/5/12,11/7/12,,49,44,7
Barack Obama,11/4/12,11/6/12,,50,44,6
Barack Obama,11/3/12,11/5/12,,52,44,6
Barack Obama,11/1/12,11/4/12,,52,45,7
Barack Obama,10/26/12,10/28/12,,51,44,5
Barack Obama,10/25/12,10/27/12,,48,48,4
Barack Obama,10/24/12,10/26/12,,46,49,5
Barack Obama,10/23/12,10/25/12,,48,47,5
Barack Obama,10/22/12,10/24/12,,51,44,5
Barack Obama,10/21/12,10/23/12,,53,42,5
Barack Obama,10/20/12,10/22/12,,51,45,4
Barack Obama,10/19/12,10/21/12,,49,46,5
Barack Obama,10/18/12,10/20/12,,49,45,6
Barack Obama,10/17/12,10/19/12,,49,46,5
Barack Obama,10/16/12,10/18/12,,50,46,4
Barack Obama,10/15/12,10/17/12,,50,44,6
Barack Obama,10/14/12,10/16/12,,49,45,6
Barack Obama,10/13/12,10/15/12,,49,45,6
Barack Obama,10/12/12,10/14/12,,48,47,5
Barack Obama,10/10/12,10/12/12,,48,46,6
Barack Obama,10/9/12,10/11/12,,50,44,6
Barack Obama,10/8/12,10/10/12,,52,43,5
Barack Obama,10/7/12,10/9/12,,53,42,5
Barack Obama,10/6/12,10/8/12,,53,42,5
Barack Obama,10/5/12,10/7/12,,51,44,5
Barack Obama,10/4/12,10/6/12,,48,46,6
Barack Obama,10/3/12,10/5/12,,50,45,5
Barack Obama,10/2/12,10/4/12,,52,43,5
Barack Obama,10/1/12,10/3/12,,54,42,4
Barack Obama,9/30/12,10/2/12,,50,44,6
Barack Obama,9/29/12,10/1/12,,48,45,7
Barack Obama,9/28/12,9/30/12,,47,46,7
Barack Obama,9/27/12,9/29/12,,46,46,8
Barack Obama,9/26/12,9/28/12,,48,47,5
Barack Obama,9/25/12,9/27/12,,50,45,5
Barack Obama,9/24/12,9/26/12,,50,44,6
Barack Obama,9/23/12,9/25/12,,51,43,6
Barack Obama,9/22/12,9/24/12,,50,43,7
Barack Obama,9/21/12,9/23/12,,51,42,7
Barack Obama,9/20/12,9/22/12,,51,43,6
Barack Obama,9/19/12,9/21/12,,47,46,7
Barack Obama,9/18/12,9/20/12,,47,48,5
Barack Obama,9/17/12,9/19/12,,46,48,6
Barack Obama,9/16/12,9/18/12,,48,46,6
Barack Obama,9/15/12,9/17/12,,49,45,6
Barack Obama,9/14/12,9/16/12,,50,44,6
Barack Obama,9/13/12,9/15/12,,50,44,6
Barack Obama,9/12/12,9/14/12,,49,45,6
Barack Obama,9/11/12,9/13/12,,49,43,8
Barack Obama,9/10/12,9/12/12,,49,42,9
Barack Obama,9/9/12,9/11/12,,51,42,7
Barack Obama,9/8/12,9/10/12,,50,43,7
Barack Obama,9/7/12,9/9/12,,50,44,6
Barack Obama,9/6/12,9/8/12,,50,44,6
Barack Obama,9/5/12,9/7/12,,52,42,6
Barack Obama,9/4/12,9/6/12,,52,43,5
Barack Obama,9/3/12,9/5/12,,49,45,6
Barack Obama,9/2/12,9/4/12,,47,47,6
Barack Obama,9/1/12,9/3/12,,45,48,7
Barack Obama,8/31/12,9/2/12,,45,48,7
